Name,InChlKey,SMILES,Formula,Precursor m/z,MS/MS_m/z,MSMS spectrum,Adduct,CE,Source,NLFentanyl_C9H10NO,ProIonFentanyl_C8H9+,ProIonFentanyl_C13H18N+,MS2 feature
Remifentanil,ZTVQQQVZCWLTDF-UHFFFAOYSA-N,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC  ,C20H28N2O5,377.20776,"113.0599 225.593
116.0703 201.261
136.076 27.114
146.0967 97.181
158.0966 157.715
158.9639 23.242
196.0974 24.881
202.1226 180.341
228.1223 922.849
261.1585 428.561
274.1422 10.341
285.1585 536.35
303.1697 48.843
317.185 1000.0
321.1813 56.966
345.1801 239.911
377.2064 319.214",113.0599:225.593 116.0703:201.261 136.076:27.114 146.0967:97.181 158.0966:157.715 158.9639:23.242 196.0974:24.881 202.1226:180.341 228.1223:922.849 261.1585:428.561 274.1422:10.341 285.1585:536.35 303.1697:48.843 317.185:1000.0 321.1813:56.966 345.1801:239.911 377.2064:319.214,[M+H]+,20 eV,MONA,0,0,0,0
Remifentanil,ZTVQQQVZCWLTDF-UHFFFAOYSA-N,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC(=O)OC)C(=O)OC  ,C20H28N2O5,377.20776,"228.1227 11.599
317.1852 31.743
345.1808 71.787
377.2056 1000.0",228.1227:11.599 317.1852:31.743 345.1808:71.787 377.2056:1000.0,[M+H]+,10 eV,MONA,0,0,0,0
¦Â-hydroxy-3-methylfentanyl,FRPRNNRJTCONEC-UHFFFAOYSA-N  ,CCC(=O)N(C1CCN(CC1C)CC(C2=CC=CC=C2)O)C3=CC=CC=C3  ,C23H30N2O2,367.236,"367.23624 999.0
366.03918 0.76
366.07294 0.49
293.19733 0.43
200.13937 0.33
218.15062 0.33
366.85516 0.33
366.92273 0.33
366.00732 0.3
134.09467 0.26
366.96213 0.26",367.23624:999.0 366.03918:0.76 366.07294:0.49 293.19733:0.43 200.13937:0.33 218.15062:0.33 366.85516:0.33 366.92273:0.33 366.00732:0.3 134.09467:0.26 366.96213:0.26,[M+H]+,10,std,0,0,0,0
¦Â-hydroxy-3-methylfentanyl,FRPRNNRJTCONEC-UHFFFAOYSA-N  ,CCC(=O)N(C1CCN(CC1C)CC(C2=CC=CC=C2)O)C3=CC=CC=C3  ,C23H30N2O3,367.2346,"367.2345 999.0
349.22208 27.3
218.15215 10.01
293.19742 5.47
216.13499 4.37
200.14223 3.75
134.09471 3.04
160.10941 2.69
230.15152 1.41
367.19507 1.01
96.0789 0.93
188.14388 0.71
311.20221 0.66
172.11266 0.62
105.06823 0.57
204.13493 0.57
349.18546 0.57
144.0753 0.53
366.03558 0.53
366.05432 0.53
98.09581 0.49
132.08144 0.49
190.11807 0.49
349.2587 0.49
311.21085 0.44
59.04798 0.35
120.08093 0.35
146.09001 0.35
174.13037 0.35
277.77817 0.35
57.03469 0.31
69.06701 0.31
94.06203 0.18
96.08562 0.18",367.2345:999.0 349.22208:27.3 218.15215:10.01 293.19742:5.47 216.13499:4.37 200.14223:3.75 134.09471:3.04 160.10941:2.69 230.15152:1.41 367.19507:1.01 96.0789:0.93 188.14388:0.71 311.20221:0.66 172.11266:0.62 105.06823:0.57 204.13493:0.57 349.18546:0.57 144.0753:0.53 366.03558:0.53 366.05432:0.53 98.09581:0.49 132.08144:0.49 190.11807:0.49 349.2587:0.49 311.21085:0.44 59.04798:0.35 120.08093:0.35 146.09001:0.35 174.13037:0.35 277.77817:0.35 57.03469:0.31 69.06701:0.31 94.06203:0.18 96.08562:0.18,[M+H]+,20,std,0,0,0,0
¦Â-hydroxy-3-methylfentanyl,FRPRNNRJTCONEC-UHFFFAOYSA-N  ,CCC(=O)N(C1CCN(CC1C)CC(C2=CC=CC=C2)O)C3=CC=CC=C3  ,C23H30N2O4,367.2343,"367.23151 999.0
218.15045 256.74
349.22107 216.55
200.14069 214.65
293.19507 124.51
134.09373 113.01
216.13475 102.23
160.10944 98.59
230.1512 45.14
132.07935 43.69
188.1411 22.28
144.07777 21.41
105.06849 17.33
98.09513 16.31
172.10878 14.85
311.20834 14.27
146.09248 12.67
69.06819 12.23
150.08943 11.65
174.12259 9.32
190.12067 9.32
91.05331 9.17
81.06829 8.88
204.13615 7.72
57.03286 7.28
117.06798 7.14
120.07685 6.41
162.12309 6.12
96.07823 5.83
148.10568 5.39
158.08989 5.24
130.06345 5.1
198.12604 5.1
367.18268 4.66
99.07875 4.51
201.13446 4.51
349.18445 4.51
55.05308 4.22
131.08459 4.22
176.10519 4.22
161.09293 3.79
83.08339 3.64
129.06854 3.64
118.06243 3.5
171.10371 3.5
367.2991 3.35
157.09596 2.91
112.11106 2.77
141.06622 2.77
70.06363 2.62
274.18338 2.62
256.16946 2.48
183.11348 2.18
121.06025 2.04
169.09601 2.04
366.03821 2.04
216.11169 1.89
292.19427 1.89
56.0485 1.75
106.06419 1.75
84.08135 1.6
115.05595 1.6
126.08805 1.6
200.10741 1.6
350.21976 1.6
83.08071 1.46
109.08561 1.46
145.08868 1.46
79.05441 1.31
103.05238 1.31
127.09572 1.31
100.1114 1.17
117.0542 1.17
155.08459 1.17",367.23151:999.0 218.15045:256.74 349.22107:216.55 200.14069:214.65 293.19507:124.51 134.09373:113.01 216.13475:102.23 160.10944:98.59 230.1512:45.14 132.07935:43.69 188.1411:22.28 144.07777:21.41 105.06849:17.33 98.09513:16.31 172.10878:14.85 311.20834:14.27 146.09248:12.67 69.06819:12.23 150.08943:11.65 174.12259:9.32 190.12067:9.32 91.05331:9.17 81.06829:8.88 204.13615:7.72 57.03286:7.28 117.06798:7.14 120.07685:6.41 162.12309:6.12 96.07823:5.83 148.10568:5.39 158.08989:5.24 130.06345:5.1 198.12604:5.1 367.18268:4.66 99.07875:4.51 201.13446:4.51 349.18445:4.51 55.05308:4.22 131.08459:4.22 176.10519:4.22 161.09293:3.79 83.08339:3.64 129.06854:3.64 118.06243:3.5 171.10371:3.5 367.2991:3.35 157.09596:2.91 112.11106:2.77 141.06622:2.77 70.06363:2.62 274.18338:2.62 256.16946:2.48 183.11348:2.18 121.06025:2.04 169.09601:2.04 366.03821:2.04 216.11169:1.89 292.19427:1.89 56.0485:1.75 106.06419:1.75 84.08135:1.6 115.05595:1.6 126.08805:1.6 200.10741:1.6 350.21976:1.6 83.08071:1.46 109.08561:1.46 145.08868:1.46 79.05441:1.31 103.05238:1.31 127.09572:1.31 100.1114:1.17 117.0542:1.17 155.08459:1.17,[M+H]+,30,std,0,0,0,0
¦Â-hydroxy-3-methylfentanyl,FRPRNNRJTCONEC-UHFFFAOYSA-N  ,CCC(=O)N(C1CCN(CC1C)CC(C2=CC=CC=C2)O)C3=CC=CC=C3  ,C23H30N2O5,367.2329,"200.13956 999.0
134.0939 636.86
132.07838 636.4
218.15074 571.65
160.10841 436.14
105.06762 317.27
216.13503 288.6
69.0691 287.21
188.13866 230.33
98.09428 187.78
230.15001 164.65
144.07678 158.64
367.2301 140.6
146.09505 131.81
293.19211 130.89
91.05249 126.73
81.0684 125.34
120.07808 99.44
349.2197 96.66
57.03219 78.16
117.06813 73.07
150.08963 59.66
174.1254 58.74
55.05242 55.04
171.10136 50.88
130.0625 49.02
172.10899 45.79
198.12352 44.4
96.07836 43.01
118.06365 43.01
129.0676 37.46
131.08253 36.07
79.05277 34.23
117.05329 33.3
103.05152 30.06
148.10945 30.06
112.11121 29.6
158.09256 29.14
162.12579 27.75
56.04784 26.36
99.07791 25.9
185.1174 25.44
94.0634 24.51
157.09863 24.51
115.05189 24.05
70.06372 23.59
143.08229 22.66
161.09065 22.66
83.0835 20.35
109.08575 18.96
204.13643 18.96
190.12093 18.5
201.13333 18.5
121.06364 18.04
131.0713 18.04
311.20529 17.11
145.08533 15.72
141.06757 15.26
145.09714 13.88
82.06398 13.41
67.05223 12.95
169.09624 12.95
199.13165 12.95
68.04844 11.1
84.07786 11.1
184.10954 11.1
188.10371 10.64
292.1846 10.64
106.06332 10.18
170.0954 10.18
176.10152 10.18
77.03585 9.71
155.08113 9.71
100.10957 8.79
53.03767 8.32
104.04664 8.32
108.08001 8.32
60.04198 7.86
97.08564 7.86
95.08207 7.4
110.09204 7.4
162.09087 7.4
148.07129 6.94
256.16351 6.94
157.08511 6.47
119.04628 6.01
154.0724 6.01
159.10074 6.01
183.11372 6.01
186.11864 6.01
126.08821 5.55
58.06543 5.09
122.0933 5.09
57.06698 4.62
114.08802 4.62",200.13956:999.0 134.0939:636.86 132.07838:636.4 218.15074:571.65 160.10841:436.14 105.06762:317.27 216.13503:288.6 69.0691:287.21 188.13866:230.33 98.09428:187.78 230.15001:164.65 144.07678:158.64 367.2301:140.6 146.09505:131.81 293.19211:130.89 91.05249:126.73 81.0684:125.34 120.07808:99.44 349.2197:96.66 57.03219:78.16 117.06813:73.07 150.08963:59.66 174.1254:58.74 55.05242:55.04 171.10136:50.88 130.0625:49.02 172.10899:45.79 198.12352:44.4 96.07836:43.01 118.06365:43.01 129.0676:37.46 131.08253:36.07 79.05277:34.23 117.05329:33.3 103.05152:30.06 148.10945:30.06 112.11121:29.6 158.09256:29.14 162.12579:27.75 56.04784:26.36 99.07791:25.9 185.1174:25.44 94.0634:24.51 157.09863:24.51 115.05189:24.05 70.06372:23.59 143.08229:22.66 161.09065:22.66 83.0835:20.35 109.08575:18.96 204.13643:18.96 190.12093:18.5 201.13333:18.5 121.06364:18.04 131.0713:18.04 311.20529:17.11 145.08533:15.72 141.06757:15.26 145.09714:13.88 82.06398:13.41 67.05223:12.95 169.09624:12.95 199.13165:12.95 68.04844:11.1 84.07786:11.1 184.10954:11.1 188.10371:10.64 292.1846:10.64 106.06332:10.18 170.0954:10.18 176.10152:10.18 77.03585:9.71 155.08113:9.71 100.10957:8.79 53.03767:8.32 104.04664:8.32 108.08001:8.32 60.04198:7.86 97.08564:7.86 95.08207:7.4 110.09204:7.4 162.09087:7.4 148.07129:6.94 256.16351:6.94 157.08511:6.47 119.04628:6.01 154.0724:6.01 159.10074:6.01 183.11372:6.01 186.11864:6.01 126.08821:5.55 58.06543:5.09 122.0933:5.09 57.06698:4.62 114.08802:4.62,[M+H]+,40,std,0,0,0,0
Acetylfentanyl,FYIUUQUPOKIKNI-UHFFFAOYSA-N  ,CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3 ,C21H26N2O ,323.2114,"323.21045 999.0
188.1418 2.3
323.16815 1.56
322.1561 1.08
323.15582 0.74
323.26859 0.56
322.1438 0.39
323.07306 0.35
323.29324 0.35
323.64218 0.35",323.21045:999.0 188.1418:2.3 323.16815:1.56 322.1561:1.08 323.15582:0.74 323.26859:0.56 322.1438:0.39 323.07306:0.35 323.29324:0.35 323.64218:0.35,[M+H]+,10,std,0,0,0,0
Acetylfentanyl,FYIUUQUPOKIKNI-UHFFFAOYSA-N  ,CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3 ,C21H26N3O,323.2122,"323.21124 999.0
188.14261 57.86
202.12372 4.65
105.06755 3.1
323.16718 1.64
134.09453 1.37
322.14459 1.2
176.10292 1.11
132.07791 1.02
323.25879 0.84
281.1936 0.8
322.16568 0.75
323.27643 0.75
134.08887 0.58
322.1991 0.58
186.1226 0.53
230.15379 0.53
146.10027 0.49
84.07806 0.4
59.04592 0.31
79.05478 0.31",323.21124:999.0 188.14261:57.86 202.12372:4.65 105.06755:3.1 323.16718:1.64 134.09453:1.37 322.14459:1.2 176.10292:1.11 132.07791:1.02 323.25879:0.84 281.1936:0.8 322.16568:0.75 323.27643:0.75 134.08887:0.58 322.1991:0.58 186.1226:0.53 230.15379:0.53 146.10027:0.49 84.07806:0.4 59.04592:0.31 79.05478:0.31,[M+H]+,20,std,0,0,0,0
Acetylfentanyl,FYIUUQUPOKIKNI-UHFFFAOYSA-N  ,CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3 ,C21H26N4O,323.2126,"188.14273 999.0
323.21048 660.98
105.06925 231.53
202.12114 146.08
134.09549 67.69
132.07999 47.22
146.0954 16.48
176.10558 14.05
84.07948 12.7
136.07596 9.06
188.13332 6.85
174.09065 5.56
186.12672 4.49
79.05263 4.42
160.11115 4.28
67.0538 3.21
230.1497 3.21
323.18231 3.07
281.1976 2.64
55.05394 2.57
118.0642 2.28
103.05116 2.21
77.03745 2.14
231.14674 2.07
189.13863 1.78
56.0501 1.71
117.06868 1.57
94.06313 1.5
158.09531 1.36
190.1196 1.36
219.14449 1.36
120.07861 1.28
129.0703 1.21
106.06293 1.14
148.11099 1.14
189.14537 1.07
69.06661 1.0
115.05246 0.86
91.05411 0.71
323.63693 0.71
82.06382 0.64
96.07998 0.64
119.08424 0.64
159.11708 0.64
51.02556 0.57
131.08299 0.57
322.17197 0.57
123.07999 0.5
198.12486 0.5
204.13634 0.5
240.13214 0.5
84.06959 0.43",188.14273:999.0 323.21048:660.98 105.06925:231.53 202.12114:146.08 134.09549:67.69 132.07999:47.22 146.0954:16.48 176.10558:14.05 84.07948:12.7 136.07596:9.06 188.13332:6.85 174.09065:5.56 186.12672:4.49 79.05263:4.42 160.11115:4.28 67.0538:3.21 230.1497:3.21 323.18231:3.07 281.1976:2.64 55.05394:2.57 118.0642:2.28 103.05116:2.21 77.03745:2.14 231.14674:2.07 189.13863:1.78 56.0501:1.71 117.06868:1.57 94.06313:1.5 158.09531:1.36 190.1196:1.36 219.14449:1.36 120.07861:1.28 129.0703:1.21 106.06293:1.14 148.11099:1.14 189.14537:1.07 69.06661:1.0 115.05246:0.86 91.05411:0.71 323.63693:0.71 82.06382:0.64 96.07998:0.64 119.08424:0.64 159.11708:0.64 51.02556:0.57 131.08299:0.57 322.17197:0.57 123.07999:0.5 198.12486:0.5 204.13634:0.5 240.13214:0.5 84.06959:0.43,[M+H]+,30,std,0,0,0,0
Acetylfentanyl,FYIUUQUPOKIKNI-UHFFFAOYSA-N  ,CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3 ,C21H26N5O,323.2112,"105.06935 999.0
188.14287 865.22
132.08009 183.2
134.0956 137.09
202.11989 65.24
146.09552 50.67
84.07956 36.89
79.05359 35.3
323.20889 32.68
103.05324 18.33
67.05308 17.88
77.03753 15.6
136.07494 15.48
55.05401 13.32
117.06773 10.25
69.06913 9.11
174.0882 9.11
120.08086 8.65
186.12686 8.2
94.06512 7.86
118.0643 7.86
56.0487 7.63
176.1031 7.51
160.11005 7.17
91.05327 5.92
129.06706 2.73
106.06302 2.62
158.09541 2.62
51.02353 2.5
96.08008 2.16
119.08542 2.05
104.04736 1.94
117.05607 1.94
130.06308 1.71
189.13606 1.71
106.07211 1.59
115.05466 1.59
65.03685 1.48
82.06301 1.37
97.08639 1.37
98.096 1.37
131.08423 1.37
158.09174 1.37
119.07152 1.14
143.08279 1.14
176.0992 1.14
93.06801 1.02
148.11111 1.02
184.10841 1.02
81.06833 0.91
131.07188 0.91
190.12244 0.91
231.14542 0.91
57.0708 0.8
70.06538 0.8
104.73715 0.8
144.0808 0.8
145.08701 0.8
159.11473 0.8
230.14986 0.8
281.19943 0.8
53.03782 0.68
107.08267 0.68
174.10629 0.68
240.13229 0.68
132.06432 0.57
134.08424 0.57
149.02 0.57
172.11188 0.57
187.53183 0.57
323.17368 0.57
67.43153 0.46
95.04748 0.46
110.09273 0.46
133.08199 0.46
142.0789 0.46
171.11705 0.46",105.06935:999.0 188.14287:865.22 132.08009:183.2 134.0956:137.09 202.11989:65.24 146.09552:50.67 84.07956:36.89 79.05359:35.3 323.20889:32.68 103.05324:18.33 67.05308:17.88 77.03753:15.6 136.07494:15.48 55.05401:13.32 117.06773:10.25 69.06913:9.11 174.0882:9.11 120.08086:8.65 186.12686:8.2 94.06512:7.86 118.0643:7.86 56.0487:7.63 176.1031:7.51 160.11005:7.17 91.05327:5.92 129.06706:2.73 106.06302:2.62 158.09541:2.62 51.02353:2.5 96.08008:2.16 119.08542:2.05 104.04736:1.94 117.05607:1.94 130.06308:1.71 189.13606:1.71 106.07211:1.59 115.05466:1.59 65.03685:1.48 82.06301:1.37 97.08639:1.37 98.096:1.37 131.08423:1.37 158.09174:1.37 119.07152:1.14 143.08279:1.14 176.0992:1.14 93.06801:1.02 148.11111:1.02 184.10841:1.02 81.06833:0.91 131.07188:0.91 190.12244:0.91 231.14542:0.91 57.0708:0.8 70.06538:0.8 104.73715:0.8 144.0808:0.8 145.08701:0.8 159.11473:0.8 230.14986:0.8 281.19943:0.8 53.03782:0.68 107.08267:0.68 174.10629:0.68 240.13229:0.68 132.06432:0.57 134.08424:0.57 149.02:0.57 172.11188:0.57 187.53183:0.57 323.17368:0.57 67.43153:0.46 95.04748:0.46 110.09273:0.46 133.08199:0.46 142.0789:0.46 171.11705:0.46,[M+H]+,40,std,0,0,0,0
Furanylfentanyl,FZJVHWISUGFFQV-UHFFFAOYSA-N  ,C1CN(CCC1N(C2=CC=CC=C2)C(=O)C3=CC=CO3)CCC4=CC=CC=C4 ,C24H26N2O2,375.2067,"375.20514 999.0
188.14247 1.16
373.98001 0.62
374.00464 0.36
374.87875 0.24
331.22079 0.2
375.14438 0.18
105.06943 0.16
330.25317 0.16
372.93475 0.16
374.8446 0.16",375.20514:999.0 188.14247:1.16 373.98001:0.62 374.00464:0.36 374.87875:0.24 331.22079:0.2 375.14438:0.18 105.06943:0.16 330.25317:0.16 372.93475:0.16 374.8446:0.16,[M+H]+,10,std,0,0,0,0
Furanylfentanyl,FZJVHWISUGFFQV-UHFFFAOYSA-N  ,C1CN(CCC1N(C2=CC=CC=C2)C(=O)C3=CC=CO3)CCC4=CC=CC=C4 ,C24H26N2O3,375.2075,"375.20627 999.0
188.142 108.41
105.06709 2.17
134.09628 1.12
254.11606 1.01
373.99442 0.8
228.1033 0.63
188.07077 0.53
282.14172 0.53
146.09261 0.43
373.97925 0.4
374.02283 0.36
188.423 0.34
188.10168 0.33
188.18636 0.33
375.16449 0.33
189.14597 0.31
292.1319 0.31",375.20627:999.0 188.142:108.41 105.06709:2.17 134.09628:1.12 254.11606:1.01 373.99442:0.8 228.1033:0.63 188.07077:0.53 282.14172:0.53 146.09261:0.43 373.97925:0.4 374.02283:0.36 188.423:0.34 188.10168:0.33 188.18636:0.33 375.16449:0.33 189.14597:0.31 292.1319:0.31,[M+H]+,20,std,0,0,0,0
Furanylfentanyl,FZJVHWISUGFFQV-UHFFFAOYSA-N  ,C1CN(CCC1N(C2=CC=CC=C2)C(=O)C3=CC=CO3)CCC4=CC=CC=C4 ,C24H26N2O4,375.2074,"188.14301 999.0
375.20621 382.53
105.06973 79.92
134.09592 31.21
254.11424 13.96
228.10155 10.44
146.0946 8.26
84.07908 6.08
132.07816 5.93
375.17206 3.61
95.01158 3.23
226.08743 2.97
186.12434 2.82
160.10779 2.5
282.14645 2.47
188.12151 2.01
189.14565 1.98
120.07906 1.72
103.05263 1.54
292.13 1.54
158.09444 1.43
188.06775 1.43
117.0702 1.28
77.03796 1.25
56.04914 1.05
79.05227 1.02
240.10339 0.96
187.5293 0.9
189.13756 0.9
69.06874 0.81
283.14639 0.79
170.05887 0.7
375.12271 0.67
375.15497 0.64
198.08511 0.58
77.03538 0.52",188.14301:999.0 375.20621:382.53 105.06973:79.92 134.09592:31.21 254.11424:13.96 228.10155:10.44 146.0946:8.26 84.07908:6.08 132.07816:5.93 375.17206:3.61 95.01158:3.23 226.08743:2.97 186.12434:2.82 160.10779:2.5 282.14645:2.47 188.12151:2.01 189.14565:1.98 120.07906:1.72 103.05263:1.54 292.13:1.54 158.09444:1.43 188.06775:1.43 117.0702:1.28 77.03796:1.25 56.04914:1.05 79.05227:1.02 240.10339:0.96 187.5293:0.9 189.13756:0.9 69.06874:0.81 283.14639:0.79 170.05887:0.7 375.12271:0.67 375.15497:0.64 198.08511:0.58 77.03538:0.52,[M+H]+,30,std,0,0,0,0
Furanylfentanyl,FZJVHWISUGFFQV-UHFFFAOYSA-N  ,C1CN(CCC1N(C2=CC=CC=C2)C(=O)C3=CC=CO3)CCC4=CC=CC=C4 ,C24H26N2O5,375.2061,"188.14346 999.0
105.06902 723.45
134.09514 89.84
375.20322 34.58
146.095 33.84
95.01186 31.89
84.07934 23.09
254.11639 16.87
132.07964 16.36
79.05338 12.38
226.08502 8.21
228.1006 7.28
103.05392 7.23
77.0382 6.91
117.06841 6.17
188.06822 5.56
186.12881 5.19
55.05319 5.1
67.05373 4.91
69.06897 4.82
120.07939 4.68
56.0486 4.26
91.05394 3.48
198.08974 3.11
160.10944 2.92
170.05801 2.87
130.06264 2.69
240.10092 2.64
189.1461 2.55
96.07883 2.09
158.09483 1.95
188.12064 1.9
119.08396 1.81
98.09474 1.76
129.06664 1.48
120.04289 1.44
51.02134 1.39
106.07178 1.34
119.07327 1.25
187.52841 1.11
82.06368 1.07
104.05104 1.07
104.73182 1.02
123.04164 1.02
107.04685 0.97
131.07481 0.97
97.08707 0.93
188.09912 0.93
118.06605 0.88
292.13403 0.88
131.08379 0.83
137.06152 0.79
160.07474 0.79
283.14209 0.79
143.08228 0.74
228.0858 0.74
115.05219 0.7
242.11234 0.7
70.06276 0.65
81.03371 0.65
105.04693 0.65
212.10512 0.65
85.08775 0.6
92.04775 0.6
282.15201 0.6
143.08932 0.56
134.1167 0.51
210.0878 0.51
158.06158 0.46
187.51901 0.46
65.0375 0.42
80.04881 0.42
128.05894 0.42
145.09711 0.42
226.12334 0.42
50.01568 0.37
69.03151 0.37
105.21773 0.37
186.10208 0.37",188.14346:999.0 105.06902:723.45 134.09514:89.84 375.20322:34.58 146.095:33.84 95.01186:31.89 84.07934:23.09 254.11639:16.87 132.07964:16.36 79.05338:12.38 226.08502:8.21 228.1006:7.28 103.05392:7.23 77.0382:6.91 117.06841:6.17 188.06822:5.56 186.12881:5.19 55.05319:5.1 67.05373:4.91 69.06897:4.82 120.07939:4.68 56.0486:4.26 91.05394:3.48 198.08974:3.11 160.10944:2.92 170.05801:2.87 130.06264:2.69 240.10092:2.64 189.1461:2.55 96.07883:2.09 158.09483:1.95 188.12064:1.9 119.08396:1.81 98.09474:1.76 129.06664:1.48 120.04289:1.44 51.02134:1.39 106.07178:1.34 119.07327:1.25 187.52841:1.11 82.06368:1.07 104.05104:1.07 104.73182:1.02 123.04164:1.02 107.04685:0.97 131.07481:0.97 97.08707:0.93 188.09912:0.93 118.06605:0.88 292.13403:0.88 131.08379:0.83 137.06152:0.79 160.07474:0.79 283.14209:0.79 143.08228:0.74 228.0858:0.74 115.05219:0.7 242.11234:0.7 70.06276:0.65 81.03371:0.65 105.04693:0.65 212.10512:0.65 85.08775:0.6 92.04775:0.6 282.15201:0.6 143.08932:0.56 134.1167:0.51 210.0878:0.51 158.06158:0.46 187.51901:0.46 65.0375:0.42 80.04881:0.42 128.05894:0.42 145.09711:0.42 226.12334:0.42 50.01568:0.37 69.03151:0.37 105.21773:0.37 186.10208:0.37,[M+H]+,40,std,0,0,0,0
sufentanil,GGCSSNBKKAUURC-UHFFFAOYSA-N  ,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC  ,C22H30N2O2S,387.2077,"387.20712 999.0
238.12276 2.9
355.18106 2.02
385.93765 0.41
385.96075 0.33
238.11217 0.27
140.10542 0.2
385.91068 0.16
385.9877 0.16
386.33231 0.15
386.67905 0.15
386.86786 0.14
386.23218 0.13
386.74646 0.13
297.2352 0.11",387.20712:999.0 238.12276:2.9 355.18106:2.02 385.93765:0.41 385.96075:0.33 238.11217:0.27 140.10542:0.2 385.91068:0.16 385.9877:0.16 386.33231:0.15 386.67905:0.15 386.86786:0.14 386.23218:0.13 386.74646:0.13 297.2352:0.11,[M+H]+,10,std,0,0,0,0
sufentanil,GGCSSNBKKAUURC-UHFFFAOYSA-N  ,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC  ,C22H30N2O3S,387.2087,"387.2077 999.0
238.12502 211.9
355.18353 99.4
140.10736 8.33
289.1882 3.52
152.05202 3.26
206.09782 1.69
150.09032 1.19
128.1073 1.18
111.02714 1.11
239.12846 0.94
99.07981 0.86
132.08104 0.82
355.14291 0.52
356.17764 0.51
238.10081 0.47
260.16327 0.47
385.95361 0.47
224.11052 0.45
355.12814 0.44
96.0825 0.42
385.93246 0.36
108.08094 0.33
234.14581 0.28
126.09478 0.25
140.04822 0.25
238.08418 0.25
386.75668 0.25
327.1554 0.23
354.02304 0.2
239.11331 0.18
355.11337 0.18
385.89011 0.18
77.0399 0.17
206.08939 0.17
355.08936 0.17
386.83762 0.17",387.2077:999.0 238.12502:211.9 355.18353:99.4 140.10736:8.33 289.1882:3.52 152.05202:3.26 206.09782:1.69 150.09032:1.19 128.1073:1.18 111.02714:1.11 239.12846:0.94 99.07981:0.86 132.08104:0.82 355.14291:0.52 356.17764:0.51 238.10081:0.47 260.16327:0.47 385.95361:0.47 224.11052:0.45 355.12814:0.44 96.0825:0.42 385.93246:0.36 108.08094:0.33 234.14581:0.28 126.09478:0.25 140.04822:0.25 238.08418:0.25 386.75668:0.25 327.1554:0.23 354.02304:0.2 239.11331:0.18 355.11337:0.18 385.89011:0.18 77.0399:0.17 206.08939:0.17 355.08936:0.17 386.83762:0.17,[M+H]+,20,std,0,0,0,0
